"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"hst:Program_Parameters:1            ","Class","Program_Parameters","1.0.0.0","hst"," Contains attributes describing the HST observing program. ","rings","","","","","","","","","","",""
"hst:Program_Parameters:2             hst:mast_observation_id:1           ","Attribute","mast_observation_id","n/a","hst"," A 9-character identifier used to specify data products, or sometimes sets of associated data products, in MAST (the Mikulski Archive for Space Telescopes). In HST data files, this is the value of FITS keyword ROOTNAME. The name ASN_ID, for ""association identifier"" is also sometimes used. Values are always converted to lower case, if necessary. In MAST, you can find these products by entering this ID into the search box on this page: archive.stsci.edu/cgi-bin/dataset_lookup/ The nine characters can generally be interpreted as follows: - the first letter indicates the instrument, 'u' for WFPC2, 'j', for ACS, etc.; - the next three characters are unique to each HST program; - the next two characters indicate the HST visit within the program; - two characters generally increment for successive observations during the visit, using ""base 36"" where the characters used are digits 0-9 plus letters a-z; - the last character indicates a transmission method, and is generally not important for scientific purposes. However, if it is a digit, this indicates that this particular file is the result of merging two or more other HST observations from this visit. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"hst:Program_Parameters:2             hst:hst_proposal_id:1               ","Attribute","hst_proposal_id","n/a","hst"," The numeric identifier of the proposal or observing program, as assigned by the Space Telescope Science Institute. In HST data files, this is the value of FITS keyword PROPOSID. ","rings","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"hst:Program_Parameters:2             hst:hst_pi_name:1                   ","Attribute","hst_pi_name","n/a","hst"," The name of the principal investigator for this HST program, in the form ""last, name, first name, optional middle initial"". ","rings","UTF8_Text_Preserved","1","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"hst:Program_Parameters:2             hst:visit_id:1                      ","Attribute","visit_id","n/a","hst"," The two-digit ""base 36"" code identifying the visit number for this observations. An individual visit can comprise one or more orbits of HST around the Earth. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"hst:Instrument_Parameters:1         ","Class","Instrument_Parameters","1.0.0.0","hst"," Contains attributes related to the HST instrument(s) used. ","rings","","","","","","","","","","",""
"hst:Instrument_Parameters:2          hst:instrument_id:1                 ","Attribute","instrument_id","n/a","hst"," An acronym for the HST instrument. This is the value of FITS keyword INSTRUME. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:ACS","Value","ACS","","","Advanced Camera for Surveys"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:COS","Value","COS","","","Cosmic Origins Spectrograph"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:FGS","Value","FGS","","","Fine Guidance Sensors"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:FOC","Value","FOC","","","Faint Object Camera"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:FOS","Value","FOS","","","Faint Object Spectrograph"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:GHRS","Value","GHRS","","","Goddard High Resolution Spectrograph"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:HSP","Value","HSP","","","High Speed Photometer"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:NICMOS","Value","NICMOS","","","Near Infrared Camera and Multi-Object Spectrometer"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:STIS","Value","STIS","","","Space Telescope Imaging Spectrograph"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:WFC3","Value","WFC3","","","Wide Field Camera 3"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:WFPC","Value","WFPC","","","Wide Field/Planetary Camera"
"hst:Instrument_Parameters:2          hst:instrument_id:2                  Value:WFPC2","Value","WFPC2","","","Wide Field/Planetary Camera 2"
"hst:Instrument_Parameters:2          hst:channel_id:1                    ","Attribute","channel_id","n/a","hst"," An abbreviated name or acronym for the specific channel of the HST instrument used for this observation. Here, ""channel"" refers to a distinct optical path used by one or more of the instrument's detectors. For HST instruments that do not have multiple channels, such as WFPC2, this attribute has the same value as the instrument_id attribute. ","rings","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:AMBER","Value","AMBER","","","The red or ""amber"" detector channel of FOS"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:BLUE","Value","BLUE","","","The blue detector channel of FOS"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:CCD","Value","CCD","",""," The Charge Coupled Device imager on STIS. "
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:D1","Value","D1","","","Detector 1, the short-wavelength channel of GHRS"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:D2","Value","D2","","","Detector 2, the longer-wavelength channel of GHRS"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:FGS","Value","FGS","","","Fine Guidance Sensor"
"hst:Instrument_Parameters:2          hst:channel_id:2                     Value:FOC","Value","FOC","","","Faint Object Camera"
